source_file,line,current_icon,icon_name,inferred_function,exists,status,line_text
docs/assets/fragments/layers/website/home/shell/home-dashboard-topbar.html,54,core/cognition/unclassified/model.svg,model,model,yes,TRUE_MATCH_REVIEW,"<img class=""ui-icon-theme-aware"" src=""/assets/icons/core/cognition/unclassified/model.svg"" alt="""">"
docs/assets/fragments/layers/website/home/shell/home-dashboard-topbar.html,66,core/navigation/unclassified/feed.svg,feed,feed,yes,TRUE_MATCH_REVIEW,"<img class=""ui-icon-theme-aware"" src=""/assets/icons/core/navigation/unclassified/feed.svg"" alt="""">"
docs/assets/fragments/layers/website/home/shell/home-dashboard-topbar.html,78,core/navigation/unclassified/dashboard.svg,dashboard,dashboard,yes,TRUE_MATCH_REVIEW,"<img class=""ui-icon-theme-aware"" src=""/assets/icons/core/navigation/unclassified/dashboard.svg"" alt="""">"
docs/assets/fragments/layers/website/home/shell/home-dashboard-topbar.html,89,core/system/unclassified/settings.svg,settings,settings,yes,TRUE_MATCH_REVIEW,"<img class=""ui-icon-theme-aware"" src=""/assets/icons/core/system/unclassified/settings.svg"" alt="""">"
docs/assets/fragments/layers/website/home/shell/home-dashboard-topbar.html,110,core/identity/unclassified/profile.svg,profile,profile,yes,TRUE_MATCH_REVIEW,"<img class=""ui-icon-theme-aware"" src=""/assets/icons/core/identity/unclassified/profile.svg"" alt="""">"
docs/assets/fragments/layers/website/home/shell/home-navigation-drawer.html,36,core/cognition/unclassified/continuity.svg,continuity,continuity,yes,TRUE_MATCH_REVIEW,"<span class=""home-navigation-drawer__item-icon"" aria-hidden=""true""><img class=""ui-icon-theme-aware"" src=""/assets/icons/core/cognition/unclassified/continuity.svg"" alt=""""></span>"
docs/assets/fragments/layers/website/home/shell/home-navigation-drawer.html,43,core/identity/unclassified/profile.svg,profile,profile,yes,TRUE_MATCH_REVIEW,"<span class=""home-navigation-drawer__item-icon"" aria-hidden=""true""><img class=""ui-icon-theme-aware"" src=""/assets/icons/core/identity/unclassified/profile.svg"" alt=""""></span>"
docs/assets/fragments/layers/website/home/shell/home-navigation-drawer.html,47,core/system/unclassified/settings.svg,settings,settings,yes,TRUE_MATCH_REVIEW,"<span class=""home-navigation-drawer__item-icon"" aria-hidden=""true""><img class=""ui-icon-theme-aware"" src=""/assets/icons/core/system/unclassified/settings.svg"" alt=""""></span>"
docs/assets/fragments/layers/website/home/shell/home-search-shell.html,32,core/actions/unclassified/search.svg,search,search,yes,TRUE_MATCH_REVIEW,"<img class=""ui-icon-theme-aware"" src=""/assets/icons/core/actions/unclassified/search.svg"" alt="""">"
docs/assets/fragments/layers/website/home/shell/home-search-shell.html,50,core/media/unclassified/mic.svg,mic,mic,yes,TRUE_MATCH_REVIEW,"<img class=""ui-icon-theme-aware"" src=""/assets/icons/core/media/unclassified/mic.svg"" alt="""">"
docs/assets/fragments/layers/website/home/stage/developer-operations-panel/developer-operations-panel.html,32,core/actions/unclassified/expand.svg,expand,expand,yes,TRUE_MATCH_REVIEW,"<img class=""ui-icon-theme-aware"" src=""/assets/icons/core/actions/unclassified/expand.svg"" alt="""">"
docs/assets/fragments/layers/website/home/stage/developer-operations-panel/search/developer-operations-search.html,20,core/actions/unclassified/search.svg,search,search,yes,TRUE_MATCH_REVIEW,"<img class=""ui-icon-theme-aware"" src=""/assets/icons/core/actions/unclassified/search.svg"" alt="""">"
docs/assets/fragments/layers/website/home/stage/developer-operations-panel/tabs/developer-operations-tabs.html,20,core/productivity/tasks/tasks.svg,tasks,tasks,yes,TRUE_MATCH_REVIEW,"<img class=""ui-icon-theme-aware"" src=""/assets/icons/core/productivity/tasks/tasks.svg"" alt="""">"
docs/assets/fragments/layers/website/home/stage/developer-operations-panel/tabs/developer-operations-tabs.html,26,layers/developer/repository/repository.svg,repository,repository,yes,TRUE_MATCH_REVIEW,"<img class=""ui-icon-theme-aware"" src=""/assets/icons/layers/developer/repository/repository.svg"" alt="""">"
docs/assets/fragments/layers/website/home/stage/developer-operations-panel/tabs/developer-operations-tabs.html,32,core/productivity/workspace/workspace.svg,workspace,workspace,yes,TRUE_MATCH_REVIEW,"<img class=""ui-icon-theme-aware"" src=""/assets/icons/core/productivity/workspace/workspace.svg"" alt="""">"
docs/assets/fragments/layers/website/home/stage/developer-operations-panel/tabs/developer-operations-tabs.html,38,core/files/unclassified/server.svg,server,server,yes,TRUE_MATCH_REVIEW,"<img class=""ui-icon-theme-aware"" src=""/assets/icons/core/files/unclassified/server.svg"" alt="""">"
docs/assets/fragments/layers/website/home/stage/developer-operations-panel/tabs/developer-operations-tabs.html,44,core/legal/compliance/audit.svg,audit,audit,yes,TRUE_MATCH_REVIEW,"<img class=""ui-icon-theme-aware"" src=""/assets/icons/core/legal/compliance/audit.svg"" alt="""">"
docs/assets/fragments/layers/website/home/stage/developer-operations-panel/tabs/developer-operations-tabs.html,50,core/actions/unclassified/archive.svg,archive,archive,yes,TRUE_MATCH_REVIEW,"<img class=""ui-icon-theme-aware"" src=""/assets/icons/core/actions/unclassified/archive.svg"" alt="""">"
